ID,Posted at,Screen name,Text
378325039428698112,2013-09-13 01:11:32 +0000,thisisaaronland,remember when I used to post photos to the internet / yeah me too
378199751696478208,2013-09-12 16:53:42 +0000,thisisaaronland,"RT @moleitau: Coder is live! It's a simple, open web server & IDE for Raspberry Pi to teach with, made by folks here http://t.co/QtE3xTdfyU"
378175191064387585,2013-09-12 15:16:06 +0000,thisisaaronland,"am I the only one sort of hoping that the NSA will answer zuckerberg's critique with nothing more than ""move fast and break things"" ?"
378160252098580480,2013-09-12 14:16:44 +0000,thisisaaronland,RT @benfinoradin: It Takes a Village to Save a Hard Drive http://t.co/jzRObPKI9p
377905332141297664,2013-09-11 21:23:46 +0000,thisisaaronland,"@hondanhon ""redacted"" is the same in every language"
377834991205371905,2013-09-11 16:44:16 +0000,thisisaaronland,@nelson silly rabbit everyone knows that @sfsiren communicates using AT commands / cc @burritojustice
377228263762178048,2013-09-10 00:33:21 +0000,thisisaaronland,am I the only one who looks out at the 9/11 lights and sees the NSA staring down at them from the heavens ?
377122267966091264,2013-09-09 17:32:09 +0000,thisisaaronland,does anyone else see an endless gauntlet of server farms and data centers whenever they look down park avenue ?
377085359126880256,2013-09-09 15:05:30 +0000,thisisaaronland,PREVIOUSLY UNREMARKABLE AND ASSUMED PIECE OF CRAP EMBUED WITH BRAND NAME AWARENESS THUS BLOSSOMING LIKE BUTTERFLY ON WINGS OF PEER PRESSURE
377043511453184001,2013-09-09 12:19:12 +0000,thisisaaronland,did @neilstimler just announce that the met has entered in to a cross-licensing agreement with furby corp  for william the hippo ?
377037202192363520,2013-09-09 11:54:08 +0000,thisisaaronland,@nealstimler for example / gustav klimpt barbie or women’s the scream bathing suit or william the hippo furby doll or sol lewitt recipe book
376749085757571072,2013-09-08 16:49:16 +0000,thisisaaronland,https://t.co/YM9eTDxCCK is a simple-as-java-allows httpony that wraps the boilerpipe and tika and java-readability text extraction libraries
376712105560641536,2013-09-08 14:22:19 +0000,thisisaaronland,has anyone put together a hierarchy of acceptable product derivatives for museum objects yet ?
375993028462141440,2013-09-06 14:44:58 +0000,thisisaaronland,am I the only one completely weirded out by all the francis bacon references in the robocop trailer ?
375799243518517248,2013-09-06 01:54:56 +0000,thisisaaronland,"RT @jamesbridle: Australia: Drone Shadows, Diagrams, and Political Systems http://t.co/Fdlyxqq6Ai - on not drawing a drone, and what it reveals anyway #bwf13"
375770339793698817,2013-09-06 00:00:05 +0000,thisisaaronland,does this mean we can file a computer fraud and abuse act lawsuit against the NSA / so confused
375675473293881344,2013-09-05 17:43:07 +0000,thisisaaronland,@bwyman I often feel this way... / cc @sebchan
375591859642707968,2013-09-05 12:10:52 +0000,thisisaaronland,"language is culture, right – http://t.co/gNqyh3zAHq"
375588231129337856,2013-09-05 11:56:27 +0000,thisisaaronland,I would totally add chiseled triangular depth to my redacted
375408100414853122,2013-09-05 00:00:40 +0000,thisisaaronland,@jamesbridle is my new aspect resolution
375282435442765824,2013-09-04 15:41:19 +0000,thisisaaronland,"""Frightening as it may be, all of us are responsible for the existence of the Hot Dog Stuffed Crust Pizza."" – http://t.co/YMwCBjo4pi"
375262335692046336,2013-09-04 14:21:27 +0000,thisisaaronland,RT @jomc: Tiny Proofs of the Existence of the Eiffel Tower  https://t.co/YxR9Yt3Ewm (more scattered notes on images)
374960366578434048,2013-09-03 18:21:32 +0000,thisisaaronland,@obra when you think about it space is like a promise to generate callbacks
374957719779680256,2013-09-03 18:11:01 +0000,thisisaaronland,@obra in callback no one can hear you scream
374904683153743872,2013-09-03 14:40:16 +0000,thisisaaronland,@doingitwrong parallel-flickr tries to be a bit more graceful about this which isn't hard because yahoo but still... http://t.co/m6cSfb0rFo
374661988972249090,2013-09-02 22:35:53 +0000,thisisaaronland,RT @JillyBallistic: Encore Tweet: Drones. Coming soon. (Flushing Ave; Queens bound G) #jillyballistic #warculture http://t.co/Lgv0NWDuJV
374281812652347392,2013-09-01 21:25:12 +0000,thisisaaronland,am I the only one wondering why motorhead hasn't done a pet shop boys cover album yet ?
374277282409369601,2013-09-01 21:07:12 +0000,thisisaaronland,RT @fogonwater: I wrote about using Markov chains to mashup Alice in Wonderland with the Tao Te Ching http://t.co/rIAyRskSFN Includes @wondertao source code
374180406155030528,2013-09-01 14:42:15 +0000,thisisaaronland,what tasteless comparison can we make of @onthemedia as they liken the economics of streaming music to … the israeli-palestinian conflict
373961934514958336,2013-09-01 00:14:07 +0000,thisisaaronland,@voxkev see also: http://t.co/lUNTQirzBn
373618574470176768,2013-08-31 01:29:44 +0000,thisisaaronland,that part where I did not even notice the cheese-eating ass-hattery of the new flickr logo / because I've basically stopped using the site
373471841269972992,2013-08-30 15:46:40 +0000,thisisaaronland,"RT @gregorg: The new Space Race: galleries, fairs, or museums? who'll go big enough fast enough to show a 100-ft dia. satelloon? http://t.co/ZOqGxEV1dP"
373456065565708288,2013-08-30 14:43:59 +0000,thisisaaronland,RT @giorgialupi: Beautiful coloured daily walking patterns http://t.co/ehkheraEjl  by @patternbank
373274816913997825,2013-08-30 02:43:46 +0000,thisisaaronland,@ftrain when you think about it unitary executive theory is kind of like an alias for su -m or is it the other way around / so confused
373271132083744769,2013-08-30 02:29:07 +0000,thisisaaronland,@ftrain you could buy a lot of copies of practical unix and internet security for 56 billion dollars
373269873104674816,2013-08-30 02:24:07 +0000,thisisaaronland,@waxpancake I knew there was a reason we created galleries... http://t.co/XeJ6stDnTO
373153158635085824,2013-08-29 18:40:20 +0000,thisisaaronland,@timbray we should start a webring of too long blog posts
373138327425146880,2013-08-29 17:41:24 +0000,thisisaaronland,@ryanchris the first whiz burger is the tastiest
373131510095695872,2013-08-29 17:14:19 +0000,thisisaaronland,"RT @jamesbridle: Ring of Steel: https://t.co/uFMrkRKKlg - a long essay for Matter on ANPR and blanket, algorithmic surveillance."
372871053250674688,2013-08-28 23:59:21 +0000,thisisaaronland,"""global war on terroir"" - @sebchan"
372813724278460416,2013-08-28 20:11:33 +0000,thisisaaronland,@sebchan just told me told write back in mouth words / what should I do ?
372738546592792577,2013-08-28 15:12:49 +0000,thisisaaronland,"my hope is that the https://t.co/Iq4F9TTsJp tag will eventually dwarf the actual reading list for our class on ""museums and the network"""
372695960876367872,2013-08-28 12:23:36 +0000,thisisaaronland,@vbeauty significant whitespace is like the jacques-louis david of programming it's true / cc @databloom @sebchan @ben_fry
372540144852946944,2013-08-28 02:04:26 +0000,thisisaaronland,currently debating a class titled / everything you need to know about programming you already learned making lasagne
372482413806370816,2013-08-27 22:15:02 +0000,thisisaaronland,meanwhile this... http://t.co/B0pERcRJ1X
